"study_period","borough","trip_count","avg_tip_amount","avg_tip_rate","avg_fare_amount","avg_trip_distance"
"Holiday Season","Manhattan","20498277","3.63","0.2554","15.58","2.3"
"Holiday Season","Unknown","94906","4.93","0.2429","22.31","4.11"
"Holiday Season","Queens","1926672","10.83","0.2063","53.63","12.6"
"Holiday Season","N/A","2477","6.24","0.1178","53.16","4.8"
"Holiday Season","EWR","448","6.55","0.1153","52.69","3.42"
"Holiday Season","Brooklyn","216660","1.38","0.0626","30.06","6.5"
"Holiday Season","Staten Island","249","2.6","0.0617","53.3","15.11"
"Holiday Season","Bronx","66295","0.17","0.0059","36.64","9.43"
"Normal Baseline","Manhattan","28015658","3.65","0.2537","15.72","2.37"
"Normal Baseline","Unknown","137286","4.5","0.2405","20.64","3.65"
"Normal Baseline","Queens","2808855","10.9","0.2075","53.69","12.68"
"Normal Baseline","EWR","498","7.88","0.1267","56.43","3.5"
"Normal Baseline","N/A","3500","6.26","0.1194","52.8","4.68"
"Normal Baseline","Brooklyn","281875","1.69","0.0752","29.1","6.11"
"Normal Baseline","Staten Island","433","2.03","0.0482","53.57","14.49"
"Normal Baseline","Bronx","78009","0.3","0.0097","35.57","8.94"
