"study_period","pickup_hour","trip_count","avg_tip_amount","avg_tip_rate","avg_fare_amount","avg_trip_distance"
"Holiday Season","0","610880","4.16","0.2456","18.98","3.63"
"Holiday Season","1","410657","3.69","0.2448","16.81","3.12"
"Holiday Season","2","261892","3.42","0.244","15.62","2.87"
"Holiday Season","3","163867","3.54","0.2409","16.74","3.19"
"Holiday Season","4","103626","4.51","0.2291","23.39","4.89"
"Holiday Season","5","114948","5.08","0.219","28.56","6.46"
"Holiday Season","6","274312","4.13","0.2195","22.72","4.89"
"Holiday Season","7","593698","3.8","0.2313","18.93","3.6"
"Holiday Season","8","838986","3.74","0.236","17.96","3.1"
"Holiday Season","9","959238","3.88","0.2399","18.21","3.07"
"Holiday Season","10","1050883","4.03","0.2422","18.63","3.09"
"Holiday Season","11","1141828","4.07","0.2418","18.76","3.0"
"Holiday Season","12","1237074","4.14","0.2417","19.09","3.07"
"Holiday Season","13","1285518","4.28","0.241","19.74","3.22"
"Holiday Season","14","1388045","4.44","0.2398","20.53","3.37"
"Holiday Season","15","1457723","4.38","0.2391","20.31","3.3"
"Holiday Season","16","1476095","4.64","0.258","20.37","3.33"
"Holiday Season","17","1593084","4.39","0.2611","18.96","2.98"
"Holiday Season","18","1648502","4.19","0.2651","17.71","2.78"
"Holiday Season","19","1458689","4.23","0.2641","17.99","3.03"
"Holiday Season","20","1323154","4.25","0.2565","18.44","3.27"
"Holiday Season","21","1337407","4.27","0.2562","18.5","3.32"
"Holiday Season","22","1189105","4.31","0.2523","18.98","3.45"
"Holiday Season","23","886773","4.36","0.2481","19.61","3.71"
"Normal Baseline","0","854874","4.16","0.2418","19.2","3.73"
"Normal Baseline","1","556208","3.66","0.2404","16.99","3.2"
"Normal Baseline","2","357981","3.38","0.2389","15.74","2.9"
"Normal Baseline","3","230467","3.48","0.2366","16.62","3.16"
"Normal Baseline","4","139235","4.47","0.226","23.09","4.84"
"Normal Baseline","5","158020","5.21","0.221","28.46","6.41"
"Normal Baseline","6","393948","4.27","0.2207","22.88","4.91"
"Normal Baseline","7","854331","3.87","0.232","18.98","3.6"
"Normal Baseline","8","1188388","3.81","0.235","18.17","3.11"
"Normal Baseline","9","1336902","3.96","0.2382","18.48","3.07"
"Normal Baseline","10","1425523","4.09","0.2401","18.89","3.1"
"Normal Baseline","11","1537424","4.18","0.2392","19.31","3.11"
"Normal Baseline","12","1655061","4.26","0.2389","19.73","3.2"
"Normal Baseline","13","1697624","4.41","0.2391","20.32","3.37"
"Normal Baseline","14","1832241","4.57","0.2379","21.16","3.54"
"Normal Baseline","15","1896492","4.52","0.2372","20.98","3.47"
"Normal Baseline","16","1947786","4.75","0.2572","20.83","3.46"
"Normal Baseline","17","2185958","4.45","0.2614","19.17","3.1"
"Normal Baseline","18","2292422","4.26","0.2657","17.98","2.94"
"Normal Baseline","19","2054566","4.23","0.2648","17.9","3.09"
"Normal Baseline","20","1885225","4.23","0.255","18.37","3.32"
"Normal Baseline","21","1880705","4.29","0.2544","18.65","3.43"
"Normal Baseline","22","1698999","4.35","0.2496","19.29","3.59"
"Normal Baseline","23","1265734","4.43","0.2448","20.16","3.89"
