"borough","pickup_hour","holiday_trips","baseline_trips","holiday_tip_rate","baseline_tip_rate","tip_rate_difference"
"Brooklyn","15","11312","13502","0.05","0.0607","-0.0107"
"Brooklyn","8","17342","21395","0.0331","0.041","-0.0078"
"Queens","1","21763","32013","0.1956","0.1878","0.0078"
"Brooklyn","11","15338","19562","0.0252","0.0327","-0.0076"
"Brooklyn","10","16634","20410","0.0234","0.0309","-0.0075"
"Brooklyn","9","18021","21662","0.0249","0.0323","-0.0074"
"Brooklyn","14","12653","15574","0.0401","0.0472","-0.0072"
"Brooklyn","7","13965","18248","0.0292","0.0363","-0.007"
"Brooklyn","13","13985","17447","0.0321","0.0388","-0.0067"
"Brooklyn","12","15050","19526","0.0281","0.0341","-0.006"
"Queens","7","47156","69816","0.1728","0.1779","-0.0051"
"Brooklyn","6","10189","13008","0.0218","0.0268","-0.005"
"Manhattan","2","251297","342612","0.2459","0.241","0.0049"
"Manhattan","3","156712","220297","0.2442","0.2396","0.0046"
"Manhattan","4","93156","125179","0.2432","0.239","0.0042"
"Manhattan","1","383726","516835","0.248","0.244","0.004"
"Manhattan","0","542297","751112","0.2508","0.2472","0.0036"
"Queens","6","32966","48200","0.1511","0.1546","-0.0035"
"Manhattan","12","1119245","1488577","0.2485","0.2453","0.0032"
"Queens","13","104701","151903","0.207","0.2102","-0.0032"
