period,pickup_borough,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Holiday Season,Manhattan,2275969,3.78,0.2575,16.4
Holiday Season,Unknown,4388,4.73,0.2473,21.18
Holiday Season,Queens,241978,10.95,0.1971,56.62
Holiday Season,EWR,171,12.17,0.1259,93.0
Holiday Season,N/A,641,10.87,0.1205,87.89
Holiday Season,Staten Island,19,2.75,0.0556,48.79
Holiday Season,Brooklyn,47661,0.83,0.0353,32.79
Holiday Season,Bronx,18785,0.09,0.0027,38.34
Normal Baseline,Manhattan,2412249,3.59,0.2616,15.07
Normal Baseline,Unknown,5814,4.79,0.2488,21.34
Normal Baseline,Queens,229134,11.17,0.2098,55.07
Normal Baseline,Staten Island,11,13.21,0.1779,70.6
Normal Baseline,EWR,57,11.65,0.1267,89.04
Normal Baseline,N/A,432,9.39,0.1257,73.78
Normal Baseline,Brooklyn,24691,1.59,0.0702,29.68
Normal Baseline,Bronx,6398,0.27,0.009,37.64
