period,pickup_hour,trip_count,avg_tip_amount,avg_tip_rate
Holiday Season,0,65395,4.43,0.2508
Holiday Season,1,38623,4.0,0.2527
Holiday Season,2,23897,3.63,0.2518
Holiday Season,3,14699,3.61,0.2443
Holiday Season,4,11014,4.4,0.2178
Holiday Season,5,13791,4.2,0.192
Holiday Season,6,31036,3.64,0.1973
Holiday Season,7,63883,3.57,0.2183
Holiday Season,8,91361,3.6,0.2294
Holiday Season,9,109869,3.75,0.2339
Holiday Season,10,123303,3.98,0.2374
Holiday Season,11,134553,4.13,0.2368
Holiday Season,12,143325,4.14,0.2368
Holiday Season,13,149137,4.31,0.2371
Holiday Season,14,161232,4.47,0.2358
Holiday Season,15,170276,4.46,0.2351
Holiday Season,16,171600,4.72,0.2542
Holiday Season,17,177999,4.51,0.258
Holiday Season,18,178865,4.33,0.2642
Holiday Season,19,161810,4.34,0.2654
Holiday Season,20,150536,4.34,0.2577
Holiday Season,21,152025,4.38,0.2582
Holiday Season,22,133017,4.4,0.2551
Holiday Season,23,100684,4.44,0.2521
Normal Baseline,0,75023,4.11,0.2481
Normal Baseline,1,49549,3.68,0.2457
Normal Baseline,2,29319,3.45,0.2443
Normal Baseline,3,20968,3.5,0.2424
Normal Baseline,4,13071,4.46,0.2329
Normal Baseline,5,13637,5.11,0.227
Normal Baseline,6,31211,4.09,0.2215
Normal Baseline,7,67182,3.81,0.2375
Normal Baseline,8,98322,3.67,0.2418
Normal Baseline,9,113136,3.84,0.245
Normal Baseline,10,119640,3.98,0.2464
Normal Baseline,11,128678,4.02,0.2463
Normal Baseline,12,138958,4.13,0.2464
Normal Baseline,13,146085,4.21,0.2462
Normal Baseline,14,157036,4.4,0.2445
Normal Baseline,15,163603,4.36,0.2439
Normal Baseline,16,169809,4.55,0.2648
Normal Baseline,17,188809,4.3,0.2698
Normal Baseline,18,196056,4.09,0.2758
Normal Baseline,19,172760,4.1,0.2736
Normal Baseline,20,163299,4.06,0.2643
Normal Baseline,21,163915,4.16,0.2634
Normal Baseline,22,144000,4.24,0.258
Normal Baseline,23,102372,4.3,0.2527
