period,pickup_hour,trip_count,avg_tip_amount,avg_tip_rate
Holiday Season,0,66061,4.6,0.2542
Holiday Season,1,38994,4.17,0.2584
Holiday Season,2,24112,3.81,0.2598
Holiday Season,3,14851,3.81,0.2542
Holiday Season,4,11251,4.73,0.2353
Holiday Season,5,14058,4.43,0.1962
Holiday Season,6,31433,3.83,0.2011
Holiday Season,7,64435,3.71,0.2206
Holiday Season,8,92019,3.72,0.2312
Holiday Season,9,110648,3.85,0.2366
Holiday Season,10,124140,4.08,0.2397
Holiday Season,11,135570,4.24,0.2395
Holiday Season,12,144401,4.25,0.2389
Holiday Season,13,150448,4.45,0.2393
Holiday Season,14,162820,4.63,0.2382
Holiday Season,15,172129,4.64,0.2367
Holiday Season,16,173524,4.91,0.2559
Holiday Season,17,179496,4.64,0.2599
Holiday Season,18,180171,4.44,0.2663
Holiday Season,19,162986,4.46,0.2673
Holiday Season,20,151650,4.45,0.2597
Holiday Season,21,153135,4.5,0.2609
Holiday Season,22,134060,4.52,0.2575
Holiday Season,23,101710,4.59,0.2554
Normal Baseline,0,75585,4.24,0.2515
Normal Baseline,1,49862,3.8,0.2522
Normal Baseline,2,29508,3.56,0.249
Normal Baseline,3,21117,3.63,0.2503
Normal Baseline,4,13252,4.71,0.2416
Normal Baseline,5,13853,5.33,0.2324
Normal Baseline,6,31493,4.24,0.2253
Normal Baseline,7,67611,3.9,0.2393
Normal Baseline,8,98814,3.74,0.245
Normal Baseline,9,113671,3.91,0.2469
Normal Baseline,10,120227,4.06,0.3046
Normal Baseline,11,129325,4.09,0.248
Normal Baseline,12,139791,4.22,0.2483
Normal Baseline,13,146933,4.31,0.2479
Normal Baseline,14,158144,4.51,0.2462
Normal Baseline,15,164872,4.49,0.2457
Normal Baseline,16,171044,4.67,0.2899
Normal Baseline,17,189874,4.4,0.2715
Normal Baseline,18,197061,4.17,0.2776
Normal Baseline,19,173588,4.18,0.2759
Normal Baseline,20,164159,4.14,0.2662
Normal Baseline,21,164743,4.24,0.2655
Normal Baseline,22,144959,4.34,0.261
Normal Baseline,23,103235,4.43,0.2558
