period,pickup_hour,trip_count,avg_tip_amount,avg_tip_rate
Holiday Season,0,65899,4.54,0.2502
Holiday Season,1,38875,4.1,0.2522
Holiday Season,2,24029,3.73,0.2514
Holiday Season,3,14779,3.69,0.2439
Holiday Season,4,11195,4.63,0.2173
Holiday Season,5,14020,4.41,0.1917
Holiday Season,6,31371,3.79,0.1974
Holiday Season,7,64323,3.69,0.2182
Holiday Season,8,91881,3.69,0.2292
Holiday Season,9,110442,3.83,0.2337
Holiday Season,10,123939,4.06,0.2371
Holiday Season,11,135333,4.22,0.2366
Holiday Season,12,144183,4.22,0.2365
Holiday Season,13,150224,4.42,0.2368
Holiday Season,14,162569,4.6,0.2356
Holiday Season,15,171863,4.61,0.2348
Holiday Season,16,173276,4.88,0.2538
Holiday Season,17,179250,4.62,0.2577
Holiday Season,18,179884,4.42,0.2638
Holiday Season,19,162754,4.43,0.265
Holiday Season,20,151394,4.42,0.2574
Holiday Season,21,152866,4.47,0.2579
Holiday Season,22,133819,4.49,0.2547
Holiday Season,23,101444,4.55,0.2516
Normal Baseline,0,75432,4.19,0.2478
Normal Baseline,1,49733,3.74,0.2455
Normal Baseline,2,29427,3.52,0.2441
Normal Baseline,3,21034,3.55,0.2423
Normal Baseline,4,13194,4.6,0.2327
Normal Baseline,5,13801,5.28,0.2267
Normal Baseline,6,31445,4.21,0.2214
Normal Baseline,7,67526,3.88,0.2373
Normal Baseline,8,98666,3.72,0.2416
Normal Baseline,9,113543,3.9,0.2449
Normal Baseline,10,120071,4.03,0.2462
Normal Baseline,11,129148,4.07,0.2461
Normal Baseline,12,139598,4.2,0.2462
Normal Baseline,13,146772,4.29,0.2461
Normal Baseline,14,157930,4.49,0.2443
Normal Baseline,15,164656,4.47,0.2436
Normal Baseline,16,170809,4.65,0.2645
Normal Baseline,17,189642,4.38,0.2696
Normal Baseline,18,196762,4.15,0.2755
Normal Baseline,19,173388,4.16,0.2734
Normal Baseline,20,163921,4.12,0.2641
Normal Baseline,21,164510,4.22,0.2631
Normal Baseline,22,144720,4.31,0.2577
Normal Baseline,23,103058,4.4,0.2523
