period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Holiday Season,Manhattan,Upper West Side South,73453,3.49,0.2777,13.92
Holiday Season,Manhattan,Greenwich Village North,35943,3.74,0.2744,15.1
Holiday Season,Manhattan,Yorkville West,48952,3.23,0.2735,13.29
Holiday Season,Manhattan,Upper East Side South,148693,3.36,0.2735,13.49
Holiday Season,Manhattan,Lincoln Square East,93387,3.61,0.273,14.54
Holiday Season,Manhattan,Flatiron,39614,3.71,0.2723,15.56
Holiday Season,Manhattan,Lenox Hill West,63300,3.25,0.2701,13.5
Holiday Season,Manhattan,Upper East Side North,128761,3.29,0.27,13.39
Holiday Season,Manhattan,Clinton East,60667,3.9,0.2694,16.54
Holiday Season,Manhattan,West Village,52286,3.71,0.2679,15.32
Holiday Season,Manhattan,Upper West Side North,49720,3.32,0.2666,13.95
Holiday Season,Manhattan,Midtown North,76200,4.26,0.2655,17.59
Holiday Season,Manhattan,Sutton Place/Turtle Bay North,45120,3.73,0.2647,15.48
Holiday Season,Manhattan,Union Sq,72902,3.75,0.2645,15.65
Holiday Season,Manhattan,Lincoln Square West,26409,3.29,0.2641,14.13
Holiday Season,Manhattan,Times Sq/Theatre District,78933,4.89,0.2627,20.98
Holiday Season,Manhattan,Central Park,40197,3.81,0.2627,15.68
Holiday Season,Manhattan,Greenwich Village South,34943,3.71,0.2625,15.57
Holiday Season,Manhattan,Yorkville East,33914,3.46,0.2623,14.55
Holiday Season,Manhattan,Hudson Sq,11356,3.96,0.261,17.33
Holiday Season,Manhattan,Midtown East,99277,4.12,0.2608,17.25
Holiday Season,Manhattan,Midtown Center,114637,4.3,0.2598,18.0
Holiday Season,Manhattan,Midtown South,55623,4.02,0.2597,17.23
Holiday Season,Manhattan,Gramercy,51664,3.65,0.2592,15.67
Holiday Season,Manhattan,SoHo,19837,4.04,0.2587,17.2
Holiday Season,Manhattan,East Village,52739,3.63,0.2586,15.45
Holiday Season,Manhattan,East Chelsea,68850,4.33,0.2582,18.61
Holiday Season,Manhattan,Murray Hill,70155,3.95,0.2569,17.12
Holiday Season,Manhattan,Meatpacking/West Village West,20161,4.08,0.2568,17.38
Holiday Season,Manhattan,Lenox Hill East,53279,3.51,0.2562,15.73
Holiday Season,Manhattan,Clinton West,11426,3.46,0.2558,16.01
Holiday Season,Manhattan,UN/Turtle Bay South,26217,4.15,0.2548,18.2
Holiday Season,Manhattan,Manhattan Valley,18573,3.28,0.2546,14.47
Holiday Season,Manhattan,Penn Station/Madison Sq West,101003,4.29,0.2525,18.49
Holiday Season,Manhattan,Little Italy/NoLiTa,25182,3.98,0.2519,17.42
Holiday Season,Unknown,N/A,4400,4.78,0.2517,21.17
Holiday Season,Manhattan,Garment District,37181,4.09,0.2508,18.28
Holiday Season,Manhattan,West Chelsea/Hudson Yards,42398,4.07,0.2504,17.8
Holiday Season,Manhattan,TriBeCa/Civic Center,32552,4.16,0.2495,19.33
Holiday Season,Manhattan,Stuy Town/Peter Cooper Village,2513,3.61,0.2463,16.33
Holiday Season,Manhattan,Lower East Side,22639,3.86,0.2449,17.57
Holiday Season,Manhattan,Kips Bay,25834,3.36,0.2441,16.42
Holiday Season,Queens,LaGuardia Airport,94522,11.08,0.2434,47.11
Holiday Season,Manhattan,Battery Park City,13437,5.17,0.2427,23.58
Holiday Season,Manhattan,Bloomingdale,5822,3.55,0.2426,16.43
Holiday Season,Manhattan,World Trade Center,11940,5.14,0.2376,24.53
Holiday Season,Queens,East Elmhurst,7484,10.58,0.2301,47.51
Holiday Season,Manhattan,Morningside Heights,10363,3.46,0.2288,17.41
Holiday Season,Manhattan,Financial District North,12796,4.82,0.227,23.92
Holiday Season,Manhattan,Financial District South,7585,4.86,0.221,25.01
Holiday Season,Manhattan,Seaport,4001,4.4,0.2199,23.25
Holiday Season,Manhattan,Chinatown,3790,4.03,0.2156,22.75
Holiday Season,Manhattan,Alphabet City,3339,3.17,0.2115,18.78
Holiday Season,Manhattan,East Harlem South,14987,2.78,0.206,17.8
Holiday Season,Queens,JFK Airport,111868,12.73,0.191,67.64
Holiday Season,Brooklyn,DUMBO/Vinegar Hill,1076,4.45,0.1865,26.99
Holiday Season,Manhattan,Two Bridges/Seward Park,2862,2.92,0.1593,24.34
Holiday Season,Queens,Sunnyside,1981,8.15,0.157,50.84
Holiday Season,Queens,Long Island City/Hunters Point,1620,8.24,0.1566,53.25
Holiday Season,Manhattan,Central Harlem,5814,2.21,0.1524,20.65
Holiday Season,Brooklyn,Downtown Brooklyn/MetroTech,1423,3.55,0.1489,30.48
Holiday Season,Manhattan,Manhattanville,1230,2.13,0.1435,21.92
Holiday Season,Brooklyn,Boerum Hill,1292,1.95,0.1372,28.32
Holiday Season,Manhattan,East Harlem North,5167,2.03,0.1331,21.62
Holiday Season,Queens,Jackson Heights,1249,7.31,0.1291,50.04
Holiday Season,Brooklyn,Brooklyn Heights,1305,2.57,0.1234,28.01
Holiday Season,Queens,South Ozone Park,1693,9.47,0.1134,71.11
Holiday Season,Queens,Baisley Park,1014,7.85,0.1004,63.24
Holiday Season,Manhattan,Hamilton Heights,1801,1.71,0.0979,25.47
Holiday Season,Brooklyn,Fort Greene,1596,1.81,0.0969,26.87
Holiday Season,Manhattan,Washington Heights South,2070,1.84,0.0838,29.97
Holiday Season,Brooklyn,Park Slope,1213,1.63,0.0828,27.76
Holiday Season,Manhattan,Central Harlem North,3830,0.68,0.0428,27.73
Holiday Season,Brooklyn,Clinton Hill,1019,0.56,0.0389,30.31
Holiday Season,Queens,Jamaica,1143,2.4,0.0367,46.81
Holiday Season,Brooklyn,Bedford,1039,0.33,0.0179,29.9
Holiday Season,Brooklyn,Bushwick South,1006,0.4,0.0174,30.67
Holiday Season,Brooklyn,Stuyvesant Heights,1417,0.15,0.0077,30.61
Holiday Season,Brooklyn,Crown Heights North,2451,0.16,0.0075,31.19
Holiday Season,Brooklyn,Prospect-Lefferts Gardens,1735,0.12,0.0067,30.75
Holiday Season,Brooklyn,Flatbush/Ditmas Park,1702,0.17,0.006,33.16
