period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Holiday Season,Manhattan,Upper West Side South,73336,3.47,0.275,13.93
Holiday Season,Manhattan,Greenwich Village North,35886,3.72,0.2719,15.11
Holiday Season,Manhattan,Upper East Side South,148483,3.34,0.2713,13.5
Holiday Season,Manhattan,Yorkville West,48844,3.2,0.2704,13.3
Holiday Season,Manhattan,Lincoln Square East,93234,3.58,0.2701,14.55
Holiday Season,Manhattan,Flatiron,39526,3.69,0.2687,15.57
Holiday Season,Manhattan,Upper East Side North,128615,3.28,0.2683,13.4
Holiday Season,Manhattan,Lenox Hill West,63199,3.23,0.2676,13.51
Holiday Season,Manhattan,Clinton East,60522,3.87,0.2654,16.53
Holiday Season,Manhattan,West Village,52185,3.68,0.2646,15.33
Holiday Season,Manhattan,Upper West Side North,49645,3.31,0.2643,13.95
Holiday Season,Manhattan,Sutton Place/Turtle Bay North,45060,3.72,0.2628,15.49
Holiday Season,Manhattan,Union Sq,72813,3.74,0.2628,15.65
Holiday Season,Manhattan,Midtown North,76059,4.23,0.2621,17.6
Holiday Season,Manhattan,Lincoln Square West,26367,3.27,0.2617,14.14
Holiday Season,Manhattan,Central Park,40135,3.79,0.2606,15.69
Holiday Season,Manhattan,Yorkville East,33872,3.44,0.2605,14.55
Holiday Season,Manhattan,Greenwich Village South,34884,3.69,0.2601,15.57
Holiday Season,Manhattan,Times Sq/Theatre District,78727,4.86,0.2592,20.96
Holiday Season,Manhattan,Hudson Sq,11336,3.93,0.2578,17.34
Holiday Season,Manhattan,Midtown East,99126,4.1,0.2578,17.26
Holiday Season,Manhattan,Gramercy,51614,3.63,0.2576,15.68
Holiday Season,Manhattan,Midtown Center,114441,4.27,0.2572,18.01
Holiday Season,Manhattan,Midtown South,55529,4.0,0.257,17.24
Holiday Season,Manhattan,East Village,52666,3.61,0.2561,15.45
Holiday Season,Manhattan,SoHo,19804,4.01,0.2559,17.21
Holiday Season,Manhattan,East Chelsea,68721,4.3,0.2553,18.6
Holiday Season,Manhattan,Murray Hill,70033,3.93,0.2541,17.12
Holiday Season,Manhattan,Meatpacking/West Village West,20125,4.05,0.2541,17.39
Holiday Season,Manhattan,Lenox Hill East,53189,3.48,0.2531,15.73
Holiday Season,Manhattan,UN/Turtle Bay South,26166,4.11,0.2515,18.21
Holiday Season,Manhattan,Manhattan Valley,18531,3.25,0.2513,14.48
Holiday Season,Manhattan,Clinton West,11397,3.42,0.2504,16.03
Holiday Season,Manhattan,Penn Station/Madison Sq West,100839,4.27,0.2502,18.49
Holiday Season,Manhattan,Little Italy/NoLiTa,25140,3.95,0.2489,17.43
Holiday Season,Unknown,N/A,4388,4.73,0.2473,21.18
Holiday Season,Manhattan,West Chelsea/Hudson Yards,42330,4.04,0.2472,17.8
Holiday Season,Manhattan,Garment District,37083,4.04,0.247,18.27
